pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,0,0,0,0,,,,,14.549180008676103,15.472786950173486,15.472786950173486,15.472786950173486,15.472786950173486,15.555884898436489,16.47264688134055,16.47264688134055,x,1,0.8872349258504073,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
150,v,0,1,1,1,,,,,17.389180044900513,18.38928841712277,18.38928841712277,18.38928841712277,18.38928841712277,18.38928841712277,19.38938833691509,19.38938833691509,v,1,0.994254155429644,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
50,c,0,2,2,2,,,,,20.40634542000589,21.40631915709946,21.40631915709946,21.40631915709946,21.40631915709946,21.40631915709946,22.389823033293396,22.389823033293396,c,1,0.5693689348950102,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-150,z,0,3,3,3,,,,,22.989861612596997,23.98999232338292,23.98999232338292,23.98999232338292,23.98999232338292,23.98999232338292,24.990126656638495,24.990126656638495,z,1,0.5142213600029208,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-50,x,1,0,4,0,,,,,25.523545299136003,26.52363314402919,26.52363314402919,26.52363314402919,26.52363314402919,26.52363314402919,27.523768986647156,27.523768986647156,x,1,0.7315287962992443,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
150,v,1,1,5,1,,,,,28.273818267330626,29.274044369821695,29.274044369821695,29.274044369821695,29.274044369821695,29.274044369821695,30.274018106915264,30.274018106915264,v,1,0.5735915272130114,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
50,c,1,2,6,2,,,,,30.87397095443339,31.85736374155249,31.85736374155249,31.85736374155249,31.85736374155249,31.874080232272718,32.85749324484868,32.85749324484868,c,1,0.5192270095467393,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-150,z,1,3,7,3,,,,,33.40773554279849,34.39342980574202,34.39342980574202,34.39342980574202,34.39342980574202,34.40943538676083,35.39124213584455,35.39124213584455,z,1,0.49570087931351736,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
-50,x,2,0,8,0,,,,,35.9079648149509,36.907997719051764,36.907997719051764,36.907997719051764,36.907997719051764,36.907997719051764,37.90789930862138,37.90789930862138,x,1,0.5229666058885414,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
150,v,2,1,9,1,,,,,38.45807911896691,39.44152594126126,39.44152594126126,39.44152594126126,39.44152594126126,39.4582300552097,40.44176804299377,40.44176804299377,v,1,0.4850991176458592,449718,001,2022-09-30_11h47.55.798,motor sequence learning,2022.2.2,60.08831884022735,
